id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date
1,424507,6,1.4,1801,17572,2.0,0,2,3,8,1458,343,2004,2022,98004,47.422589,0.0,2096,19636,20230923T000000
2,329260,6,3.5,2501,11555,1.0,0,1,2,5,2282,219,1903,1919,98006,47.441923,0.0,2653,9808,20230518T000000
3,447153,3,2.6,2036,7505,1.5,0,4,5,9,1709,327,1911,0,98006,48.0644,0.0,2015,8788,20231019T000000
4,578454,3,3.5,2498,18377,2.5,0,3,1,6,1861,637,1957,0,98006,47.71573,0.0,2375,16254,20230729T000000
5,314876,3,2.3,2562,9549,1.5,0,0,2,5,2115,447,1994,0,98003,47.730026,0.0,2479,7963,20230621T000000
6,314879,6,2.1,3723,33167,2.0,0,0,1,9,2754,969,1910,1940,98005,47.207943,0.0,4244,33718,20230704T000000
7,586881,4,3.7,1747,2307,2.0,1,4,1,8,1282,465,2000,0,98003,47.358562,0.0,2082,2525,20231026T000000
8,465115,5,1.8,1247,30361,1.5,0,1,2,8,881,366,2007,0,98004,47.514936,0.0,1023,32984,20230828T000000
9,279578,5,3.5,2196,13886,2.5,0,3,3,7,1723,473,1958,0,98001,47.299772,0.0,2266,14075,20230730T000000
10,431384,2,2.5,1358,17990,2.0,0,1,5,7,1085,273,2016,2022,98006,47.820079,0.0,1368,17937,20231229T000000
11,280487,5,2.5,3185,23331,1.5,0,1,1,7,2897,288,1935,0,98001,47.782062,0.0,3027,27712,20230531T000000
12,280140,5,1.9,1773,8697,2.0,0,4,1,6,1527,246,2008,0,98003,47.393291,0.0,2022,9812,20230504T000000
13,386294,3,2.7,1547,23642,2.0,0,3,3,7,1481,66,1921,0,98004,47.856784,0.0,1593,25520,20230218T000000
14,63007,3,2.0,1622,0,2.0,0,4,2,7,1221,401,1964,0,98005,47.49915,0.0,1500,0,20230504T000000
15,91262,6,1.1,2574,7800,2.5,0,4,5,6,2007,567,1949,1971,98004,48.017878,0.0,2516,8797,20230309T000000
16,265656,2,1.8,1873,5759,1.5,0,0,1,7,1839,34,1903,0,98006,47.528937,0.0,1765,6334,20231224T000000
17,198075,1,1.0,1486,2464,1.5,0,4,1,5,1238,248,1999,0,98004,47.615239,0.0,1444,2948,20230819T000000
18,397137,2,3.9,3332,12850,1.5,0,2,2,9,3121,211,1971,0,98001,47.779981,0.0,2760,10963,20231212T000000
19,213796,2,3.9,1315,18857,1.0,0,3,3,7,1114,201,1988,0,98002,47.755527,0.0,1110,20480,20230109T000000
20,138154,4,2.2,2028,22026,1.0,0,0,4,6,1706,322,1991,0,98006,47.602146,0.0,2128,26246,20230923T000000
21,569847,6,3.2,2521,17408,2.5,0,3,3,8,1876,645,1951,0,98005,47.471772,0.0,2706,17147,20230505T000000
22,316133,4,2.0,694,8343,2.0,0,0,1,6,663,31,2001,0,98006,47.602827,0.0,731,9121,20231117T000000
23,360129,2,3.0,2384,18690,2.0,0,2,1,7,1724,660,1999,0,98006,47.336763,0.0,2634,22243,20230422T000000
24,136287,2,3.4,1155,16242,2.0,0,4,5,7,916,239,1999,0,98005,47.530427,0.0,1359,16550,20231124T000000
25,268342,2,3.8,2658,24360,2.5,0,0,3,6,2397,261,1942,0,98006,47.278138,0.0,3041,26299,20231126T000000
26,366638,5,2.2,1229,22769,1.5,0,0,4,9,1047,182,2004,0,98001,47.143824,0.0,1188,18398,20230223T000000
27,177350,4,3.3,2554,15304,2.5,0,0,5,9,2463,91,1945,0,98004,47.510085,0.0,2265,15424,20230330T000000
28,406354,2,1.8,2884,6027,1.5,0,2,4,6,2052,832,1903,0,98001,47.752456,0.0,2666,5438,20230405T000000
29,259904,3,4.0,2689,8470,2.5,0,3,5,6,2406,283,1912,0,98004,47.685161,0.0,2783,7220,20231225T000000
30,306245,6,1.1,2201,9502,2.0,0,2,3,6,1855,346,1937,0,98002,47.483618,0.0,2514,10294,20230907T000000
31,259744,6,2.8,1814,11847,1.5,0,0,1,7,1353,461,1944,0,98006,47.849398,0.0,1960,9662,20231113T000000
32,627841,3,3.0,1538,17680,2.0,0,0,4,8,1419,119,1924,0,98002,47.386188,0.0,1564,20543,20230615T000000
33,347975,6,3.1,3176,22151,2.0,1,4,3,6,2615,561,1966,1979,98003,47.116433,0.0,3305,22308,20230815T000000
34,191343,5,1.4,1440,14488,1.0,0,2,4,6,1237,203,1954,0,98004,47.06358,0.0,1456,15347,20230516T000000
35,473381,5,3.8,1170,15161,2.0,0,2,3,7,1158,12,1995,0,98001,47.263762,0.0,1390,13665,20230306T000000
36,166873,1,1.5,2532,16433,1.5,0,1,5,6,2141,391,1938,1958,98001,47.663325,0.0,2852,14343,20230105T000000
37,381329,1,2.9,1363,9840,1.0,0,3,3,8,1290,73,1964,1970,98006,47.373039,0.0,1516,8831,20230430T000000
38,56049,1,1.7,1239,5746,2.5,0,1,5,8,1153,86,1974,0,98001,47.592192,0.0,1247,5130,20230807T000000
39,150772,6,1.9,845,0,2.0,1,1,1,6,759,86,1901,0,98003,47.829257,0.0,788,0,20231231T000000
40,379529,5,2.6,1613,8048,2.5,1,3,5,7,1563,50,1968,1974,98005,47.279981,0.0,1302,8973,20230212T000000
41,460769,5,2.3,1933,19731,2.0,0,4,2,7,1499,434,2019,2022,98001,47.5957,0.0,1579,22514,20230707T000000
42,375705,5,1.5,2194,7970,1.5,0,4,1,6,2076,118,1985,2013,98006,47.607793,0.0,1781,8718,20230126T000000
43,332652,3,1.5,2761,12621,2.0,0,3,3,6,2245,516,1961,0,98002,47.327852,0.0,3291,13345,20230924T000000
44,304834,5,2.3,2421,19664,2.0,0,3,3,7,2284,137,1945,0,98001,47.770842,0.0,2047,19883,20230611T000000
45,128221,3,3.3,1847,20206,3.0,0,2,2,6,1566,281,1976,0,98001,47.442459,0.0,1582,18310,20230821T000000
46,242023,1,3.7,1841,4204,1.5,0,2,3,7,1762,79,2011,0,98001,47.423249,0.0,1829,4549,20230510T000000
47,280904,1,1.3,2408,24970,2.5,1,2,1,6,2332,76,1986,0,98006,47.922323,0.0,2390,21340,20230121T000000
48,508568,6,2.2,3018,26273,2.5,0,2,1,8,2653,365,2010,2022,98005,47.604553,0.0,3524,26389,20230508T000000
49,401542,1,1.3,2101,3701,2.0,0,0,5,7,1790,311,1930,1952,98001,47.685058,0.0,1742,3249,20230317T000000
50,85543,6,1.0,1624,6761,2.5,0,0,4,6,1518,106,1998,0,98005,47.770979,0.0,1921,6773,20230314T000000
51,398612,2,3.0,1205,26910,1.5,0,4,3,8,940,265,2001,0,98005,47.369905,0.0,1068,24691,20230821T000000
52,292237,2,2.8,843,13531,3.0,1,0,2,6,593,250,2004,0,98003,47.749964,0.0,1001,11114,20231209T000000
53,248461,4,1.5,2533,0,2.0,0,0,1,6,2082,451,1934,0,98002,47.399621,0.0,2574,0,20230416T000000
54,441751,6,1.7,2462,1003,1.0,0,2,1,8,2098,364,1944,1984,98001,47.391075,0.0,2611,875,20230109T000000
55,504649,4,1.1,2461,12506,2.5,1,2,1,7,1942,519,1976,0,98001,47.4456,0.0,2279,10810,20230429T000000
56,489692,4,3.5,1897,3369,1.5,0,3,4,8,1546,351,1953,0,98001,47.375587,0.0,1981,3213,20230219T000000
57,224117,2,3.9,3125,10865,1.5,0,2,4,7,2312,813,1970,0,98005,47.664431,0.0,3388,10264,20230110T000000
58,303618,6,1.4,1612,15323,2.0,0,3,3,7,1262,350,1968,2010,98004,47.553442,0.0,1296,17572,20230423T000000
59,399689,2,1.7,2764,29622,1.0,0,3,2,8,2133,631,2021,0,98002,47.401755,0.0,2249,30387,20230923T000000
60,496331,4,3.6,1969,12095,1.5,0,0,4,6,1556,413,1928,0,98006,47.634901,0.0,2352,13810,20230319T000000
61,278123,6,3.8,1513,25725,2.5,0,2,5,6,1194,319,1971,0,98001,47.444964,0.0,1487,22090,20230205T000000
62,322151,4,2.3,2474,29287,1.0,0,0,4,8,2146,328,1907,1912,98004,47.434386,0.0,2905,27615,20230721T000000
63,184049,5,1.2,2327,29343,1.5,0,2,1,8,1803,524,1953,0,98004,47.509737,0.0,2540,29992,20231108T000000
