feature,target
-0.7528,1.6176
2.7043,8.0619
1.3920,4.4525
0.5920,0.7796
-2.0639,1.8463
-2.0640,2.4232
-2.6515,4.3416
2.1971,6.0923
0.6067,1.9822
1.2484,3.5260
-2.8765,4.1760
2.8195,9.1229
1.9947,5.4542
-1.7260,2.2768
-1.9091,2.0103
-1.8996,2.8733
-1.1745,0.8132
0.1485,1.8319
-0.4083,1.2829
-1.2526,0.0684
0.6711,3.1924
-2.1630,2.4374
-1.2471,1.5357
-0.8018,1.2850
-0.2636,0.3558
1.7111,4.7543
-1.8020,1.4789
0.0854,1.2868
0.5545,2.5469
-2.7213,3.3855
0.6453,4.7396
-1.9769,2.1517
-2.6097,3.0531
2.6933,8.2458
2.7938,6.7777
1.8504,5.5358
-1.1723,1.5751
-2.4140,4.9629
1.1054,3.5240
-0.3591,2.0069
-2.2678,2.2689
-0.0289,0.8028
-2.7937,4.2514
2.4559,8.2236
-1.4473,2.3911
0.9751,2.5412
-1.1297,2.9112
0.1204,0.7258
0.2803,2.9064
-1.8909,4.0873
2.8175,7.7961
1.6508,4.4471
2.6370,8.2135
2.3690,6.6715
0.5874,1.2093
2.5312,7.8034
-2.4690,1.5167
-1.8241,2.3132
-2.7286,2.0747
-1.0480,3.0511
-0.6679,0.7719
-1.3719,1.2471
1.9724,6.7312
-0.8595,0.2790
-1.3144,1.7769
0.2562,3.5961
-2.1545,0.5589
1.8132,5.6416
-2.5527,2.9653
2.9213,9.9702
1.6335,3.7306
-1.8077,0.5057
-2.9669,3.9562
1.8928,5.9810
1.2411,4.2619
1.3740,4.6645
1.6276,4.2722
-2.5557,2.9424
-0.8492,1.8044
-2.3048,1.6369
2.1786,8.4176
0.7398,3.4873
-1.0146,0.3088
-2.6186,3.4666
-1.1341,0.5343
-1.0489,2.2883
1.3776,5.4852
0.8253,2.3453
2.3233,7.9855
-0.1667,2.2600
-2.2824,3.1444
1.2795,5.9948
1.5647,4.5435
0.3677,1.6815
1.6258,4.0579
-0.0372,1.1477
0.1364,2.0686
-0.4348,2.0009
-2.8475,3.4833
-2.3527,3.2420
